City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,nenjiang,49.1833,125.2167,294.48,74,0,0.48,CN,1722894740
146,puerto santa,-8.9906,-78.6456,291.47,79,3,6.1,PE,1722894741
147,kruisfontein,-34.0033,24.7314,280.31,56,0,2.49,ZA,1722894742
148,georgetown,5.4112,100.3354,301.11,78,40,3.09,MY,1722894543
149,kerrville,30.0474,-99.1403,308.44,47,40,3.09,US,1722894744
150,papatowai,-46.5619,169.4708,281.57,68,27,3.95,NZ,1722894745
151,kimberley,-28.7323,24.7623,273.98,100,0,1.03,ZA,1722894747
152,alton north (historical),26.2953,-98.3045,310.9,44,20,3.09,US,1722894748
153,tanjung selor,2.8372,117.3642,296.46,98,73,0.69,ID,1722894749
154,san patricio,28.017,-97.5169,307.55,45,51,6.15,US,1722894750
155,mossel bay,-34.1831,22.146,283.11,62,0,2.81,ZA,1722894691
156,whitecourt,54.1502,-115.6855,286.73,100,100,4.63,CA,1722894753
157,wenchang,30.904,118.4887,298.34,73,75,1.33,CN,1722894754
158,sylvan lake,52.3168,-114.0853,291.91,71,75,4.12,CA,1722894755
159,belinskiy,52.9647,43.4165,293.42,53,100,1.75,RU,1722894756
160,maryborough,-25.5333,152.7,289.13,77,33,1.23,AU,1722894758
161,poxoreo,-15.8372,-54.3892,300.49,27,0,2.57,BR,1722894759
162,aitape,-3.1374,142.3475,298.61,84,92,1.33,PG,1722894760
163,hachinohe,40.5,141.5,297.25,94,100,1.03,JP,1722894761
164,st. john's,47.5649,-52.7093,295.81,89,75,9.26,CA,1722894762
165,bandarbeyla,9.4942,50.8122,297.88,83,74,11.53,SO,1722894763
166,p'ot'i,42.1462,41.672,296.42,84,6,0.68,GE,1722894764
167,ancud,-41.8697,-73.8203,281.15,92,100,9.25,CL,1722894765
168,torres,-29.3353,-49.7269,294.72,99,43,1.88,BR,1722894767
169,susuman,62.7833,148.1667,288.75,52,99,3.78,RU,1722894768
170,alofi,-19.0595,-169.9187,296.09,88,75,4.63,NU,1722894769
171,huanggang,23.677,116.9996,299.09,89,1,1.23,CN,1722894770
172,forster,-32.1667,152.5167,285.03,100,77,4.46,AU,1722894771
173,ust-nera,64.5667,143.2,288.85,52,100,2.13,RU,1722894772
174,gaspe,48.8334,-64.4819,295.27,60,20,6.17,CA,1722894773
175,beira,-19.8436,34.8389,297.2,88,20,5.81,MZ,1722894774
176,ouadda,8.0777,22.4007,293.07,97,41,1.8,CF,1722894775
177,aykhal,66.0,111.5,281.87,82,91,6.73,RU,1722894776
178,nuriootpa,-34.4833,139.0,278.92,93,55,2.11,AU,1722894777
179,nogliki,51.8333,143.1667,288.47,84,94,3.03,RU,1722894778
180,yuzhno-kurilsk,44.0306,145.8556,289.31,99,100,2.92,RU,1722894779
181,fort st. john,56.2499,-120.8529,290.09,67,75,2.06,CA,1722894780
182,stanley,54.868,-1.6985,293.16,83,40,3.6,GB,1722894782
183,kone,-21.0595,164.8658,294.14,54,5,1.48,NC,1722894783
184,dawson creek,55.7666,-120.2362,288.95,77,75,0.0,CA,1722894785
185,kotel,42.8833,26.45,292.9,80,41,1.11,BG,1722894786
186,vila velha,-20.3297,-40.2925,296.45,89,0,3.09,BR,1722894732
187,shingu,33.7333,135.9833,299.94,89,66,0.62,JP,1722894788
188,bredasdorp,-34.5322,20.0403,280.99,84,0,3.34,ZA,1722894789
189,dryden,49.7833,-92.7503,294.31,37,0,2.57,CA,1722894790
190,santana,-0.0583,-51.1817,304.25,66,20,4.12,BR,1722894791
191,saipan,15.1355,145.701,301.54,83,0,3.09,MP,1722894793
192,lompoc,34.6391,-120.4579,299.03,68,0,6.69,US,1722894794
193,luwuk,-0.9516,122.7875,294.8,93,98,1.68,ID,1722894796
194,weno,7.4515,151.8468,301.12,83,75,2.57,FM,1722894798
195,ginir,7.1333,40.7,289.26,84,90,4.51,ET,1722894799
196,uruzgan,32.8333,66.0,298.68,38,0,0.63,AF,1722894800
197,mahina,-17.5065,-149.489,303.02,58,20,6.69,PF,1722894802
198,batumi,41.6416,41.6359,296.14,83,75,3.6,GE,1722894803
199,veinticinco de mayo,-35.4323,-60.1727,288.7,87,100,1.34,AR,1722894804
200,mount gambier,-37.8333,140.7667,279.06,100,92,3.03,AU,1722894805
201,kupang,-10.1667,123.5833,298.47,78,20,3.6,ID,1722894806
202,san luis de la loma,17.2706,-100.8939,302.61,75,100,2.9,MX,1722894807
203,colonia,50.9333,6.95,293.68,80,0,2.57,DE,1722894636
